t[sec];q1[m3/h];h1[m];h2[m];q2_measurement[m3/h]
244;0,01;0,073344252;0,040007914;0,009269085
244,5;0,01;0,073343801;0,040007588;0,011937422
245;0,01;0,073343369;0,040007275;0,009958843
245,5;0,01;0,073342955;0,040006974;0,008795504
246;0,01;0,073342558;0,040006687;0,01061775
246,5;0,01;0,073342177;0,040006411;0,010198302
247;0,01;0,073341812;0,040006146;0,009037155
247,5;0,01;0,073341462;0,040005892;0,009415117
248;0,01;0,073341127;0,040005649;0,011335384
248,5;0,01;0,073340805;0,040005416;0,010082919
249;0,01;0,073340497;0,040005193;0,008889918
249,5;0,01;0,073340201;0,040004978;0,00899052
250;0,01;0,073339918;0,040004773;0,008874058
250,5;0,0105;0,073339646;0,040004576;0,010023769
251;0,011;0,073589385;0,040004387;0,010627324
251,5;0,0115;0,074051636;0,040191706;0,009829998
252;0,012;0,074722646;0,040585282;0,009327915
252,5;0,0125;0,075602042;0,041128469;0,012016741
253;0,013;0,076681006;0,041801412;0,009588159
253,5;0,0135;0,077949067;0,042610913;0,010271737
254;0,014;0,079398344;0,043557786;0,008379489
254,5;0,0145;0,08102226;0,04463519;0,007445206
255;0,015;0,0828142;0,045837365;0,010680009
255,5;0,0155;0,084767674;0,047161188;0,011523234
256;0,016;0,086876702;0,048603975;0,010519292
256,5;0,0165;0,089135793;0,050162736;0,010575664
257;0,017;0,091539834;0,051834642;0,01025634
257,5;0,0175;0,094084055;0,053617237;0,012188844
258;0,018;0,096764033;0,055508323;0,011533849
258,5;0,0185;0,099575676;0,05750586;0,010610736
259;0,019;0,102515204;0,059607967;0,011708803
259,5;0,0195;0,105579118;0,06181292;0,012580596
260;0,02;0,108764188;0,06411914;0,012122947
260,5;0,0205;0,112067431;0,066525171;0,013528411
261;0,021;0,115486092;0,069029669;0,011749753
261,5;0,0215;0,119017629;0,071631394;0,012968849
262;0,022;0,122659693;0,074329198;0,012221077
262,5;0,0225;0,126410119;0,077122017;0,014455414
263;0,023;0,130266904;0,080008867;0,012208077
263,5;0,0235;0,134228198;0,082988831;0,012318272
264;0,024;0,138292293;0,086061058;0,012988433
264,5;0,0245;0,142457608;0,089224757;0,015620351
265;0,025;0,14672268;0,092479189;0,013606041
265,5;0,0255;0,151086156;0,095823666;0,015055171
266;0,026;0,155546783;0,099257545;0,01422002
266,5;0,0265;0,160103397;0,102780226;0,017603463
267;0,027;0,164754921;0,106391148;0,017208588
267,5;0,0275;0,169500355;0,110089784;0,01478493
268;0,028;0,17433877;0,113875643;0,017173422
268,5;0,0285;0,179269301;0,117748262;0,016378615
269;0,029;0,184291145;0,121707209;0,016853885
